# =========================================================================
# timpani — pitched single notes. ~200 prompts.
# Style mix (generated lines): ~15% EDM/electronic. EDM-forward, full spectrum.
# Generated by gen_prompts.py (deterministic). Curated lines preserved on top.
# =========================================================================

# --- generated (combinatorial) ---
r&b crisp timpani one shot, single note, tuned struck note, resonant decay, dry, no chord, no melody, no untuned drum, no loop
trap timpani one shot, single note, resonant pitched hit, controlled sustain, mono-compatible, no chord, no melody, no untuned drum, no loop
orchestral timpani one shot, single note, deep tuned tone, controlled sustain, dry, no chord, no melody, no untuned drum, no loop
classical timpani one shot, single note, deep tuned tone, ringing tail, dry, no chord, no melody, no untuned drum, no loop
detuned timpani one shot, single note, orchestral character, deep tuned tone, lo-fi, no chord, no melody, no untuned drum, no loop
wide timpani one shot, single note, synthwave character, resonant pitched hit, filtered, no chord, no melody, no untuned drum, no loop
lush timpani one shot, single note, classical character, deep tuned tone, analog, no chord, no melody, no untuned drum, no loop
dark timpani one shot, single note, synthwave character, deep tuned tone, vinyl-warmed, no chord, no melody, no untuned drum, no loop
memphis glassy timpani one shot, single note, tuned struck note, resonant decay, dry, no chord, no melody, no untuned drum, no loop
dark timpani one shot, single note, chamber character, resonant pitched hit, compressed, no chord, no melody, no untuned drum, no loop
lush timpani one shot, single note, chamber character, tuned struck note, mono-compatible, no chord, no melody, no untuned drum, no loop
progressive house timpani one shot, single note, deep tuned tone, natural decay, vinyl-warmed, no chord, no melody, no untuned drum, no loop
cloud rap vintage timpani one shot, single note, deep tuned tone, controlled sustain, dry, no chord, no melody, no untuned drum, no loop
orchestral timpani one shot, single note, tuned struck note, natural decay, analog, no chord, no melody, no untuned drum, no loop
clean timpani one shot, single note, world character, tuned struck note, clean studio sample, no chord, no melody, no untuned drum, no loop
orchestral hollow timpani one shot, single note, tuned struck note, controlled sustain, dry, no chord, no melody, no untuned drum, no loop
cinematic bright timpani one shot, single note, deep tuned tone, natural decay, dry, no chord, no melody, no untuned drum, no loop
soundtrack dusty timpani one shot, single note, deep tuned tone, resonant decay, dry, no chord, no melody, no untuned drum, no loop
airy timpani one shot, single note, chamber character, resonant pitched hit, vinyl-warmed, no chord, no melody, no untuned drum, no loop
boom bap timpani one shot, single note, clear pitched strike, ringing tail, saturated, no chord, no melody, no untuned drum, no loop
dusty timpani one shot, single note, lo-fi hip-hop character, clear pitched strike, clean studio sample, no chord, no melody, no untuned drum, no loop
