# =========================================================================
# Mid tom one-shots — medium-pitched, balanced tom hits.
# Bias: ~40% EDM, ~30% Hip-Hop, ~30% Acoustic/Rock.
# =========================================================================

# --- Acoustic studio mid tom ---
mid tom one shot, classic acoustic tom hit, balanced body, natural decay, dry, no loop
acoustic mid tom one shot, full bodied stick hit, controlled decay, dry, no melody
12 inch tom one shot, mid-tuned bright body, natural decay, dry, no loop
13 inch tom one shot, full mid body, balanced attack, dry, no melody
14 inch tom one shot, full mid-low body, controlled decay, dry, no loop
maple mid tom one shot, warm woody body, balanced attack, dry, no melody
birch mid tom one shot, bright punchy body, controlled decay, dry, no loop
mounted mid tom one shot, full bodied tom, natural decay, dry, no melody
concert mid tom one shot, single-headed mid tom, focused tone, dry, no loop
mid tom rim shot one shot, sharp metallic accent, mid body, dry, no melody

# --- 909 mid tom ---
classic 909 mid tom one shot, sharp electronic tom, mid range tone, dry, no loop
909 mid tom one shot, processed mid tom hit, controlled decay, dry, no melody
processed 909 mid tom one shot, saturated mid range, EDM ready, dry, no loop
pitched 909 mid tom one shot, tuned mid tom, clear tone, dry, no melody

# --- 808 mid tom ---
classic 808 mid tom one shot, sharp electronic tom, mid tone, dry, no loop
808 mid tom one shot, vintage drum machine tom, controlled body, dry, no melody
tuned 808 mid tom one shot, pitched mid tom, sustained tone, dry, no loop
warm 808 mid tom one shot, soft processed tom, vintage tone, dry, no melody

# --- Trap mid tom ---
trap mid tom one shot, processed mid tom, modern hip hop, dry, no loop, no melody
modern trap mid tom one shot, crisp mid tom, controlled tone, dry, no loop
hard trap mid tom one shot, aggressive mid tom, saturated tone, dry, no melody
atlanta trap mid tom one shot, processed mid tom, modern character, dry, no loop

# --- Drill mid tom ---
drill mid tom one shot, dark mid tom, modern sampler tone, dry, no loop, no melody
uk drill mid tom one shot, processed mid tom, tight tone, dry, no loop

# --- Boom-bap / classic Hip-Hop ---
boom bap mid tom one shot, dusty sampler tom, vintage tone, dry, no loop
classic 90s hip hop mid tom one shot, warm sampled tom, soft attack, dry, no melody
golden era mid tom one shot, soft vintage tom, dusty character, dry, no loop
east coast mid tom one shot, tight processed tom, controlled tone, dry, no melody

# --- Lo-fi Hip-Hop ---
lofi hip hop mid tom one shot, soft muffled tom, vinyl character, dry, no loop
warm lo-fi mid tom one shot, dusty soft tom, tape-saturated, dry, no melody
vintage lo-fi mid tom one shot, muted soft tom, lo-fi sampler tone, dry, no loop

# --- House / tech house ---
house mid tom one shot, processed mid tom, controlled body, dry, no loop
deep house mid tom one shot, soft warm tom, smooth decay, dry, no melody
tech house mid tom one shot, processed tom, controlled tone, dry, no loop
afro house mid tom one shot, organic mid tom, controlled decay, dry, no melody

# --- Techno ---
techno mid tom one shot, dark processed tom, controlled tone, dry, no loop
minimal techno mid tom one shot, clean electronic tom, controlled body, dry, no melody
hard techno mid tom one shot, aggressive mid tom, saturated tone, dry, no loop
dub techno mid tom one shot, warm processed tom, soft attack, dry, no melody

# --- Trance ---
trance mid tom one shot, sharp mid tom, electronic character, dry, no loop
uplifting trance mid tom one shot, crisp mid tom, mainroom ready, dry, no melody
progressive trance mid tom one shot, smooth mid tom, controlled tone, dry, no loop
psytrance mid tom one shot, hard processed tom, tight tone, dry, no melody

# --- Big-room / festival ---
big room mid tom one shot, sharp festival tom, mainstage ready, dry, no loop
EDM festival mid tom one shot, processed mid tom, controlled tone, dry, no melody
peak time mid tom one shot, hard transient tom, mastered tone, dry, no loop

