# =========================================================================
# 808-bass — pitched single notes. ~200 prompts.
# Style mix (generated lines): ~74% EDM/electronic. EDM-forward, full spectrum.
# Generated by gen_prompts.py (deterministic). Curated lines preserved on top.
# =========================================================================

# --- generated (combinatorial) ---
mellow 808 sub bass one shot, single note, trap character, tight controlled sub, saturated, no chord, no melody, no loop
progressive house aggressive 808 sub bass one shot, single note, deep tuned low end, slow sub tail, dry, no chord, no melody, no loop
minimal techno dark 808 sub bass one shot, single note, pure sine sub, fast decay, dry, no chord, no melody, no loop
memphis clean 808 sub bass one shot, single note, pure sine sub, long smooth decay, dry, no chord, no melody, no loop
future bass woody 808 sub bass one shot, single note, gritty saturated sub, fast decay, dry, no chord, no melody, no loop
ambient techno gritty 808 sub bass one shot, single note, tight controlled sub, fast decay, dry, no chord, no melody, no loop
deep house 808 sub bass one shot, single note, pure sine sub, boomy sustain, tape-saturated, no chord, no melody, no loop
progressive house 808 sub bass one shot, single note, deep tuned low end, fast decay, tape-saturated, no chord, no melody, no loop
electro 808 sub bass one shot, single note, deep tuned low end, long smooth decay, dry, no chord, no melody, no loop
hip-hop 808 sub bass one shot, single note, tight controlled sub, boomy sustain, vinyl-warmed, no chord, no melody, no loop
hardstyle airy 808 sub bass one shot, single note, deep tuned low end, slow sub tail, dry, no chord, no melody, no loop
trance 808 sub bass one shot, single note, tight controlled sub, fast decay, saturated, no chord, no melody, no loop
saturated 808 sub bass one shot, single note, dubstep character, tight controlled sub, mono-compatible, no chord, no melody, no loop
electro wide 808 sub bass one shot, single note, tight controlled sub, long smooth decay, dry, no chord, no melody, no loop
fat 808 sub bass one shot, single note, uk garage character, tight controlled sub, filtered, no chord, no melody, no loop
dusty 808 sub bass one shot, single note, breakbeat character, gritty saturated sub, dry, no chord, no melody, no loop
trap glassy 808 sub bass one shot, single note, tight controlled sub, slow sub tail, dry, no chord, no melody, no loop
woody 808 sub bass one shot, single note, tech house character, deep tuned low end, mono-compatible, no chord, no melody, no loop
crisp 808 sub bass one shot, single note, melodic techno character, deep tuned low end, mono-compatible, no chord, no melody, no loop
uk garage 808 sub bass one shot, single note, gritty saturated sub, fast decay, vinyl-warmed, no chord, no melody, no loop
drum and bass 808 sub bass one shot, single note, deep tuned low end, boomy sustain, tape-saturated, no chord, no melody, no loop
hardstyle 808 sub bass one shot, single note, pure sine sub, slow sub tail, mono-compatible, no chord, no melody, no loop
uk garage 808 sub bass one shot, single note, tight controlled sub, boomy sustain, vinyl-warmed, no chord, no melody, no loop
trap edm airy 808 sub bass one shot, single note, pure sine sub, boomy sustain, dry, no chord, no melody, no loop
west coast 808 sub bass one shot, single note, deep tuned low end, long smooth decay, tape-saturated, no chord, no melody, no loop
saturated 808 sub bass one shot, single note, glitch character, gritty saturated sub, dry, no chord, no melody, no loop
ambient vintage 808 sub bass one shot, single note, pure sine sub, boomy sustain, dry, no chord, no melody, no loop
cloud rap metallic 808 sub bass one shot, single note, deep tuned low end, fast decay, dry, no chord, no melody, no loop
dark 808 sub bass one shot, single note, cinematic character, tight controlled sub, lo-fi, no chord, no melody, no loop
uk garage vintage 808 sub bass one shot, single note, gritty saturated sub, slow sub tail, dry, no chord, no melody, no loop
hardstyle lush 808 sub bass one shot, single note, tight controlled sub, fast decay, dry, no chord, no melody, no loop
detuned 808 sub bass one shot, single note, drum and bass character, pure sine sub, dry, no chord, no melody, no loop
tech house 808 sub bass one shot, single note, tight controlled sub, fast decay, clean studio sample, no chord, no melody, no loop
techno fat 808 sub bass one shot, single note, tight controlled sub, boomy sustain, dry, no chord, no melody, no loop
dusty 808 sub bass one shot, single note, phonk character, tight controlled sub, clean studio sample, no chord, no melody, no loop
aggressive 808 sub bass one shot, single note, hardstyle character, tight controlled sub, vinyl-warmed, no chord, no melody, no loop
melodic techno mellow 808 sub bass one shot, single note, pure sine sub, boomy sustain, dry, no chord, no melody, no loop
acid techno fat 808 sub bass one shot, single note, pure sine sub, slow sub tail, dry, no chord, no melody, no loop
trap edm 808 sub bass one shot, single note, tight controlled sub, slow sub tail, saturated, no chord, no melody, no loop
electro 808 sub bass one shot, single note, gritty saturated sub, slow sub tail, tape-saturated, no chord, no melody, no loop
melodic techno 808 sub bass one shot, single note, gritty saturated sub, long smooth decay, lo-fi, no chord, no melody, no loop
punchy 808 sub bass one shot, single note, cinematic character, deep tuned low end, tape-saturated, no chord, no melody, no loop
fat 808 sub bass one shot, single note, deep house character, tight controlled sub, vinyl-warmed, no chord, no melody, no loop
cloud rap dark 808 sub bass one shot, single note, deep tuned low end, long smooth decay, dry, no chord, no melody, no loop
trap edm 808 sub bass one shot, single note, gritty saturated sub, long smooth decay, dry, no chord, no melody, no loop
bright 808 sub bass one shot, single note, techno character, gritty saturated sub, compressed, no chord, no melody, no loop
dark 808 sub bass one shot, single note, acid techno character, deep tuned low end, lo-fi, no chord, no melody, no loop
metallic 808 sub bass one shot, single note, uk garage character, pure sine sub, saturated, no chord, no melody, no loop
aggressive 808 sub bass one shot, single note, big room character, tight controlled sub, lo-fi, no chord, no melody, no loop
future bass clean 808 sub bass one shot, single note, gritty saturated sub, slow sub tail, dry, no chord, no melody, no loop
vintage 808 sub bass one shot, single note, tech house character, deep tuned low end, analog, no chord, no melody, no loop
2-step aggressive 808 sub bass one shot, single note, tight controlled sub, boomy sustain, dry, no chord, no melody, no loop
metallic 808 sub bass one shot, single note, 2-step character, pure sine sub, clean studio sample, no chord, no melody, no loop
vintage 808 sub bass one shot, single note, dubstep character, gritty saturated sub, filtered, no chord, no melody, no loop
mellow 808 sub bass one shot, single note, r&b character, tight controlled sub, filtered, no chord, no melody, no loop
lo-fi hip-hop 808 sub bass one shot, single note, deep tuned low end, slow sub tail, dry, no chord, no melody, no loop
memphis dark 808 sub bass one shot, single note, deep tuned low end, fast decay, dry, no chord, no melody, no loop
ambient techno dusty 808 sub bass one shot, single note, pure sine sub, fast decay, dry, no chord, no melody, no loop
big room 808 sub bass one shot, single note, tight controlled sub, boomy sustain, clean studio sample, no chord, no melody, no loop
lush 808 sub bass one shot, single note, melodic techno character, tight controlled sub, filtered, no chord, no melody, no loop
drill 808 sub bass one shot, single note, tight controlled sub, slow sub tail, filtered, no chord, no melody, no loop
