# =========================================================================
# downlifter — unpitched one-shots. ~200 prompts.
# Style mix (generated lines): ~78% EDM/electronic. EDM-forward, full spectrum.
# Generated by gen_prompts.py (deterministic). Curated lines preserved on top.
# =========================================================================

# --- generated (combinatorial) ---
lo-fi hip-hop woody downlifter one shot, descending pitch fall, long downward sweep, dry, no drums, no riser, no melody, no loop
trap edm detuned downlifter one shot, releasing energy, post-drop release, dry, no drums, no riser, no melody, no loop
dark downlifter one shot, melodic techno character, releasing energy, dry, no drums, no riser, no melody, no loop
phonk saturated downlifter one shot, downward motion, long downward sweep, dry, no drums, no riser, no melody, no loop
memphis punchy downlifter one shot, filtered noise drop, decaying fall, dry, no drums, no riser, no melody, no loop
tech house downlifter one shot, releasing energy, smooth descent, mono-compatible, no drums, no riser, no melody, no loop
wide downlifter one shot, tech house character, filtered noise drop, mono-compatible, no drums, no riser, no melody, no loop
ambient techno downlifter one shot, filtered noise drop, decaying fall, dry, no drums, no riser, no melody, no loop
progressive house saturated downlifter one shot, descending pitch fall, long downward sweep, dry, no drums, no riser, no melody, no loop
warm downlifter one shot, melodic techno character, downward motion, dry, no drums, no riser, no melody, no loop
clean downlifter one shot, jazz character, downward motion, dry, no drums, no riser, no melody, no loop
techno downlifter one shot, releasing energy, smooth descent, saturated, no drums, no riser, no melody, no loop
trap punchy downlifter one shot, descending pitch fall, decaying fall, dry, no drums, no riser, no melody, no loop
glitch downlifter one shot, releasing energy, post-drop release, saturated, no drums, no riser, no melody, no loop
synthwave downlifter one shot, filtered noise drop, smooth descent, tape-saturated, no drums, no riser, no melody, no loop
aggressive downlifter one shot, breakbeat character, releasing energy, lo-fi, no drums, no riser, no melody, no loop
woody downlifter one shot, memphis character, downward motion, vinyl-warmed, no drums, no riser, no melody, no loop
electro punchy downlifter one shot, downward motion, post-drop release, dry, no drums, no riser, no melody, no loop
2-step detuned downlifter one shot, filtered noise drop, decaying fall, dry, no drums, no riser, no melody, no loop
breakbeat vintage downlifter one shot, downward motion, post-drop release, dry, no drums, no riser, no melody, no loop
detuned downlifter one shot, future bass character, filtered noise drop, dry, no drums, no riser, no melody, no loop
melodic techno clean downlifter one shot, filtered noise drop, long downward sweep, dry, no drums, no riser, no melody, no loop
hollow downlifter one shot, big room character, filtered noise drop, mono-compatible, no drums, no riser, no melody, no loop
drum and bass downlifter one shot, descending pitch fall, decaying fall, tape-saturated, no drums, no riser, no melody, no loop
2-step downlifter one shot, descending pitch fall, smooth descent, vinyl-warmed, no drums, no riser, no melody, no loop
synthwave downlifter one shot, descending pitch fall, long downward sweep, analog, no drums, no riser, no melody, no loop
saturated downlifter one shot, jazz character, releasing energy, clean studio sample, no drums, no riser, no melody, no loop
ambient techno downlifter one shot, downward motion, long downward sweep, dry, no drums, no riser, no melody, no loop
glitch downlifter one shot, descending pitch fall, smooth descent, saturated, no drums, no riser, no melody, no loop
hollow downlifter one shot, tech house character, downward motion, saturated, no drums, no riser, no melody, no loop
progressive house downlifter one shot, downward motion, post-drop release, dry, no drums, no riser, no melody, no loop
2-step downlifter one shot, downward motion, post-drop release, saturated, no drums, no riser, no melody, no loop
lo-fi hip-hop metallic downlifter one shot, filtered noise drop, long downward sweep, dry, no drums, no riser, no melody, no loop
metallic downlifter one shot, lo-fi hip-hop character, descending pitch fall, clean studio sample, no drums, no riser, no melody, no loop
clean downlifter one shot, trap edm character, descending pitch fall, compressed, no drums, no riser, no melody, no loop
uk garage vintage downlifter one shot, downward motion, long downward sweep, dry, no drums, no riser, no melody, no loop
crisp downlifter one shot, drum and bass character, descending pitch fall, saturated, no drums, no riser, no melody, no loop
dusty downlifter one shot, electro character, filtered noise drop, clean studio sample, no drums, no riser, no melody, no loop
dark downlifter one shot, ambient techno character, downward motion, mono-compatible, no drums, no riser, no melody, no loop
r&b downlifter one shot, descending pitch fall, smooth descent, mono-compatible, no drums, no riser, no melody, no loop
glitch downlifter one shot, downward motion, long downward sweep, tape-saturated, no drums, no riser, no melody, no loop
crisp downlifter one shot, synthwave character, descending pitch fall, clean studio sample, no drums, no riser, no melody, no loop
hardstyle downlifter one shot, descending pitch fall, post-drop release, analog, no drums, no riser, no melody, no loop
drum and bass downlifter one shot, descending pitch fall, smooth descent, vinyl-warmed, no drums, no riser, no melody, no loop
big room downlifter one shot, descending pitch fall, long downward sweep, dry, no drums, no riser, no melody, no loop
hollow downlifter one shot, dubstep character, releasing energy, dry, no drums, no riser, no melody, no loop
drill downlifter one shot, filtered noise drop, long downward sweep, clean studio sample, no drums, no riser, no melody, no loop
aggressive downlifter one shot, techno character, downward motion, compressed, no drums, no riser, no melody, no loop
big room downlifter one shot, filtered noise drop, post-drop release, dry, no drums, no riser, no melody, no loop
melodic techno downlifter one shot, downward motion, decaying fall, filtered, no drums, no riser, no melody, no loop
lush downlifter one shot, hardstyle character, releasing energy, analog, no drums, no riser, no melody, no loop
