# =========================================================================
# foley-perc — unpitched one-shots. ~200 prompts.
# Style mix (generated lines): ~30% EDM/electronic. EDM-forward, full spectrum.
# Generated by gen_prompts.py (deterministic). Curated lines preserved on top.
# =========================================================================

# --- generated (combinatorial) ---
boom bap lush foley percussion hit one shot, bright snap, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
phonk lush foley percussion hit one shot, snappy attack, natural decay, dry, no kick, no snare, no cymbals, no melody, no loop
trap fat foley percussion hit one shot, crisp transient, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
cloud rap foley percussion hit one shot, bright snap, short decay, filtered, no kick, no snare, no cymbals, no melody, no loop
hardstyle foley percussion hit one shot, crisp transient, tight tail, vinyl-warmed, no kick, no snare, no cymbals, no melody, no loop
folk foley percussion hit one shot, crisp transient, quick decay, compressed, no kick, no snare, no cymbals, no melody, no loop
vintage foley percussion hit one shot, boom bap character, crisp transient, mono-compatible, no kick, no snare, no cymbals, no melody, no loop
hip-hop foley percussion hit one shot, bright snap, tight tail, lo-fi, no kick, no snare, no cymbals, no melody, no loop
dark foley percussion hit one shot, trap character, crisp transient, mono-compatible, no kick, no snare, no cymbals, no melody, no loop
woody foley percussion hit one shot, cloud rap character, snappy attack, tape-saturated, no kick, no snare, no cymbals, no melody, no loop
west coast dusty foley percussion hit one shot, crisp transient, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
vintage foley percussion hit one shot, r&b character, dry tick, dry, no kick, no snare, no cymbals, no melody, no loop
dubstep metallic foley percussion hit one shot, crisp transient, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
drill metallic foley percussion hit one shot, dry tick, natural decay, dry, no kick, no snare, no cymbals, no melody, no loop
hip-hop foley percussion hit one shot, dry tick, quick decay, filtered, no kick, no snare, no cymbals, no melody, no loop
synthwave foley percussion hit one shot, dry tick, natural decay, mono-compatible, no kick, no snare, no cymbals, no melody, no loop
west coast foley percussion hit one shot, snappy attack, short decay, mono-compatible, no kick, no snare, no cymbals, no melody, no loop
smooth foley percussion hit one shot, neo-soul character, bright snap, filtered, no kick, no snare, no cymbals, no melody, no loop
hardstyle warm foley percussion hit one shot, dry tick, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
lo-fi hip-hop foley percussion hit one shot, crisp transient, tight tail, saturated, no kick, no snare, no cymbals, no melody, no loop
dubstep punchy foley percussion hit one shot, dry tick, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
neo-soul lush foley percussion hit one shot, snappy attack, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
lo-fi hip-hop foley percussion hit one shot, crisp transient, short decay, saturated, no kick, no snare, no cymbals, no melody, no loop
trap foley percussion hit one shot, snappy attack, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
neo-soul dusty foley percussion hit one shot, bright snap, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
lush foley percussion hit one shot, west coast character, crisp transient, saturated, no kick, no snare, no cymbals, no melody, no loop
aggressive foley percussion hit one shot, world character, crisp transient, clean studio sample, no kick, no snare, no cymbals, no melody, no loop
melodic techno aggressive foley percussion hit one shot, dry tick, natural decay, dry, no kick, no snare, no cymbals, no melody, no loop
memphis foley percussion hit one shot, crisp transient, natural decay, vinyl-warmed, no kick, no snare, no cymbals, no melody, no loop
clean foley percussion hit one shot, trap character, snappy attack, clean studio sample, no kick, no snare, no cymbals, no melody, no loop
dusty foley percussion hit one shot, phonk character, bright snap, compressed, no kick, no snare, no cymbals, no melody, no loop
electro dusty foley percussion hit one shot, crisp transient, natural decay, dry, no kick, no snare, no cymbals, no melody, no loop
west coast bright foley percussion hit one shot, bright snap, natural decay, dry, no kick, no snare, no cymbals, no melody, no loop
vintage foley percussion hit one shot, hip-hop character, bright snap, analog, no kick, no snare, no cymbals, no melody, no loop
deep house dark foley percussion hit one shot, bright snap, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
airy foley percussion hit one shot, dubstep character, crisp transient, vinyl-warmed, no kick, no snare, no cymbals, no melody, no loop
lo-fi hip-hop warm foley percussion hit one shot, snappy attack, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
trap clean foley percussion hit one shot, dry tick, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
fat foley percussion hit one shot, dubstep character, dry tick, clean studio sample, no kick, no snare, no cymbals, no melody, no loop
hardstyle dusty foley percussion hit one shot, snappy attack, natural decay, dry, no kick, no snare, no cymbals, no melody, no loop
r&b foley percussion hit one shot, dry tick, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
wide foley percussion hit one shot, boom bap character, crisp transient, dry, no kick, no snare, no cymbals, no melody, no loop
trap warm foley percussion hit one shot, bright snap, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
fat foley percussion hit one shot, lo-fi hip-hop character, dry tick, tape-saturated, no kick, no snare, no cymbals, no melody, no loop
ambient techno foley percussion hit one shot, snappy attack, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
saturated foley percussion hit one shot, synthwave character, crisp transient, analog, no kick, no snare, no cymbals, no melody, no loop
ambient techno foley percussion hit one shot, dry tick, natural decay, analog, no kick, no snare, no cymbals, no melody, no loop
smooth foley percussion hit one shot, world character, crisp transient, analog, no kick, no snare, no cymbals, no melody, no loop
boom bap punchy foley percussion hit one shot, dry tick, natural decay, dry, no kick, no snare, no cymbals, no melody, no loop
crisp foley percussion hit one shot, west coast character, bright snap, tape-saturated, no kick, no snare, no cymbals, no melody, no loop
drill aggressive foley percussion hit one shot, crisp transient, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
drill foley percussion hit one shot, bright snap, natural decay, lo-fi, no kick, no snare, no cymbals, no melody, no loop
vintage foley percussion hit one shot, melodic techno character, crisp transient, lo-fi, no kick, no snare, no cymbals, no melody, no loop
hip-hop foley percussion hit one shot, crisp transient, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
neo-soul vintage foley percussion hit one shot, crisp transient, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
drill foley percussion hit one shot, bright snap, tight tail, vinyl-warmed, no kick, no snare, no cymbals, no melody, no loop
neo-soul foley percussion hit one shot, dry tick, short decay, saturated, no kick, no snare, no cymbals, no melody, no loop
breakbeat warm foley percussion hit one shot, dry tick, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
bright foley percussion hit one shot, soundtrack character, dry tick, vinyl-warmed, no kick, no snare, no cymbals, no melody, no loop
crisp foley percussion hit one shot, deep house character, crisp transient, analog, no kick, no snare, no cymbals, no melody, no loop
future bass fat foley percussion hit one shot, bright snap, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
cloud rap foley percussion hit one shot, bright snap, tight tail, mono-compatible, no kick, no snare, no cymbals, no melody, no loop
warm foley percussion hit one shot, dubstep character, bright snap, analog, no kick, no snare, no cymbals, no melody, no loop
punchy foley percussion hit one shot, progressive house character, crisp transient, dry, no kick, no snare, no cymbals, no melody, no loop
jazz foley percussion hit one shot, crisp transient, natural decay, analog, no kick, no snare, no cymbals, no melody, no loop
hip-hop foley percussion hit one shot, snappy attack, natural decay, mono-compatible, no kick, no snare, no cymbals, no melody, no loop
metallic foley percussion hit one shot, ambient character, bright snap, filtered, no kick, no snare, no cymbals, no melody, no loop
neo-soul saturated foley percussion hit one shot, bright snap, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
hip-hop gritty foley percussion hit one shot, bright snap, natural decay, dry, no kick, no snare, no cymbals, no melody, no loop
glassy foley percussion hit one shot, west coast character, dry tick, analog, no kick, no snare, no cymbals, no melody, no loop
woody foley percussion hit one shot, future bass character, crisp transient, mono-compatible, no kick, no snare, no cymbals, no melody, no loop
memphis metallic foley percussion hit one shot, bright snap, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
boom bap foley percussion hit one shot, snappy attack, natural decay, filtered, no kick, no snare, no cymbals, no melody, no loop
neo-soul foley percussion hit one shot, snappy attack, natural decay, filtered, no kick, no snare, no cymbals, no melody, no loop
boom bap foley percussion hit one shot, snappy attack, tight tail, filtered, no kick, no snare, no cymbals, no melody, no loop
warm foley percussion hit one shot, hip-hop character, dry tick, dry, no kick, no snare, no cymbals, no melody, no loop
gritty foley percussion hit one shot, drill character, bright snap, tape-saturated, no kick, no snare, no cymbals, no melody, no loop
warm foley percussion hit one shot, boom bap character, snappy attack, compressed, no kick, no snare, no cymbals, no melody, no loop
cloud rap airy foley percussion hit one shot, crisp transient, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
classical woody foley percussion hit one shot, bright snap, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
jazz woody foley percussion hit one shot, dry tick, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
warm foley percussion hit one shot, neo-soul character, crisp transient, vinyl-warmed, no kick, no snare, no cymbals, no melody, no loop
future bass foley percussion hit one shot, dry tick, natural decay, saturated, no kick, no snare, no cymbals, no melody, no loop
trap foley percussion hit one shot, bright snap, short decay, lo-fi, no kick, no snare, no cymbals, no melody, no loop
cloud rap woody foley percussion hit one shot, bright snap, natural decay, dry, no kick, no snare, no cymbals, no melody, no loop
trap foley percussion hit one shot, dry tick, natural decay, analog, no kick, no snare, no cymbals, no melody, no loop
smooth foley percussion hit one shot, boom bap character, snappy attack, analog, no kick, no snare, no cymbals, no melody, no loop
hip-hop dusty foley percussion hit one shot, dry tick, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
west coast wide foley percussion hit one shot, snappy attack, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
trap foley percussion hit one shot, crisp transient, natural decay, tape-saturated, no kick, no snare, no cymbals, no melody, no loop
woody foley percussion hit one shot, trap character, dry tick, lo-fi, no kick, no snare, no cymbals, no melody, no loop
memphis airy foley percussion hit one shot, crisp transient, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
drill foley percussion hit one shot, bright snap, short decay, mono-compatible, no kick, no snare, no cymbals, no melody, no loop
acid techno saturated foley percussion hit one shot, bright snap, natural decay, dry, no kick, no snare, no cymbals, no melody, no loop
saturated foley percussion hit one shot, classical character, dry tick, saturated, no kick, no snare, no cymbals, no melody, no loop
memphis warm foley percussion hit one shot, crisp transient, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
punchy foley percussion hit one shot, neo-soul character, bright snap, mono-compatible, no kick, no snare, no cymbals, no melody, no loop
trap clean foley percussion hit one shot, crisp transient, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
trance fat foley percussion hit one shot, dry tick, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
neo-soul foley percussion hit one shot, dry tick, tight tail, analog, no kick, no snare, no cymbals, no melody, no loop
