# =========================================================================
# zap — unpitched one-shots. ~200 prompts.
# Style mix (generated lines): ~80% EDM/electronic. EDM-forward, full spectrum.
# Generated by gen_prompts.py (deterministic). Curated lines preserved on top.
# =========================================================================

# --- generated (combinatorial) ---
trap zap one shot, synthetic spark, quick blip, mono-compatible, no drums, no melody, no sustained tone, no long decay, no loop
boom bap glassy zap one shot, synthetic spark, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
west coast zap one shot, bright electric zap, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
dark zap one shot, minimal techno character, synthetic spark, analog, no drums, no melody, no sustained tone, no long decay, no loop
drill zap one shot, laser blip, very short decay, filtered, no drums, no melody, no sustained tone, no long decay, no loop
electro metallic zap one shot, synthetic spark, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
breakbeat crisp zap one shot, laser blip, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
drill warm zap one shot, bright electric zap, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
trance fat zap one shot, laser blip, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
progressive house clean zap one shot, digital chirp, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
woody zap one shot, minimal techno character, synthetic spark, compressed, no drums, no melody, no sustained tone, no long decay, no loop
deep house zap one shot, digital chirp, very short decay, clean studio sample, no drums, no melody, no sustained tone, no long decay, no loop
deep house hollow zap one shot, digital chirp, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
trance glassy zap one shot, bright electric zap, quick blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
future bass zap one shot, synthetic spark, tight decay, vinyl-warmed, no drums, no melody, no sustained tone, no long decay, no loop
airy zap one shot, techno character, synthetic spark, tape-saturated, no drums, no melody, no sustained tone, no long decay, no loop
clean zap one shot, dubstep character, laser blip, clean studio sample, no drums, no melody, no sustained tone, no long decay, no loop
clean zap one shot, dubstep character, digital chirp, clean studio sample, no drums, no melody, no sustained tone, no long decay, no loop
minimal techno saturated zap one shot, bright electric zap, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
hardstyle zap one shot, digital chirp, quick blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
dark zap one shot, minimal techno character, digital chirp, saturated, no drums, no melody, no sustained tone, no long decay, no loop
glitch zap one shot, laser blip, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
airy zap one shot, phonk character, digital chirp, lo-fi, no drums, no melody, no sustained tone, no long decay, no loop
west coast mellow zap one shot, bright electric zap, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
electro zap one shot, bright electric zap, very short decay, saturated, no drums, no melody, no sustained tone, no long decay, no loop
mellow zap one shot, progressive house character, digital chirp, filtered, no drums, no melody, no sustained tone, no long decay, no loop
glitch zap one shot, bright electric zap, quick blip, vinyl-warmed, no drums, no melody, no sustained tone, no long decay, no loop
dusty zap one shot, hardstyle character, digital chirp, tape-saturated, no drums, no melody, no sustained tone, no long decay, no loop
west coast punchy zap one shot, digital chirp, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
hollow zap one shot, tech house character, laser blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
airy zap one shot, ambient techno character, bright electric zap, dry, no drums, no melody, no sustained tone, no long decay, no loop
mellow zap one shot, uk garage character, laser blip, analog, no drums, no melody, no sustained tone, no long decay, no loop
trance zap one shot, bright electric zap, very short decay, compressed, no drums, no melody, no sustained tone, no long decay, no loop
metallic zap one shot, boom bap character, laser blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
glitch punchy zap one shot, bright electric zap, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
electro detuned zap one shot, bright electric zap, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
airy zap one shot, minimal techno character, bright electric zap, analog, no drums, no melody, no sustained tone, no long decay, no loop
smooth zap one shot, lo-fi hip-hop character, synthetic spark, compressed, no drums, no melody, no sustained tone, no long decay, no loop
woody zap one shot, breakbeat character, synthetic spark, dry, no drums, no melody, no sustained tone, no long decay, no loop
dubstep zap one shot, synthetic spark, snappy tail, analog, no drums, no melody, no sustained tone, no long decay, no loop
mellow zap one shot, future bass character, digital chirp, mono-compatible, no drums, no melody, no sustained tone, no long decay, no loop
smooth zap one shot, ambient techno character, digital chirp, dry, no drums, no melody, no sustained tone, no long decay, no loop
uk garage zap one shot, bright electric zap, quick blip, compressed, no drums, no melody, no sustained tone, no long decay, no loop
synthwave crisp zap one shot, bright electric zap, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
vintage zap one shot, techno character, bright electric zap, dry, no drums, no melody, no sustained tone, no long decay, no loop
synthwave zap one shot, digital chirp, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
hardstyle wide zap one shot, laser blip, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
lo-fi hip-hop mellow zap one shot, digital chirp, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
tech house airy zap one shot, synthetic spark, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
big room dusty zap one shot, laser blip, quick blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
clean zap one shot, minimal techno character, bright electric zap, compressed, no drums, no melody, no sustained tone, no long decay, no loop
techno dusty zap one shot, synthetic spark, quick blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
trap zap one shot, laser blip, very short decay, tape-saturated, no drums, no melody, no sustained tone, no long decay, no loop
trap edm glassy zap one shot, synthetic spark, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
minimal techno zap one shot, digital chirp, very short decay, filtered, no drums, no melody, no sustained tone, no long decay, no loop
bright zap one shot, tech house character, digital chirp, clean studio sample, no drums, no melody, no sustained tone, no long decay, no loop
detuned zap one shot, cloud rap character, digital chirp, lo-fi, no drums, no melody, no sustained tone, no long decay, no loop
bright zap one shot, orchestral character, bright electric zap, mono-compatible, no drums, no melody, no sustained tone, no long decay, no loop
glassy zap one shot, drum and bass character, digital chirp, lo-fi, no drums, no melody, no sustained tone, no long decay, no loop
west coast zap one shot, digital chirp, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
breakbeat zap one shot, bright electric zap, snappy tail, clean studio sample, no drums, no melody, no sustained tone, no long decay, no loop
