# =========================================================================
# sub-drop — unpitched one-shots. ~200 prompts.
# Style mix (generated lines): ~80% EDM/electronic. EDM-forward, full spectrum.
# Generated by gen_prompts.py (deterministic). Curated lines preserved on top.
# =========================================================================

# --- generated (combinatorial) ---
fat sub drop one shot, acid techno character, pure sine sub, dry, no hi hats, no snare, no mid frequencies, no click, no loop
progressive house sub drop one shot, pure sine sub, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
saturated sub drop one shot, tech house character, pure sine sub, mono-compatible, no hi hats, no snare, no mid frequencies, no click, no loop
mellow sub drop one shot, progressive house character, gritty saturated sub, dry, no hi hats, no snare, no mid frequencies, no click, no loop
minimal techno crisp sub drop one shot, gritty saturated sub, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
bright sub drop one shot, folk character, pure sine sub, tape-saturated, no hi hats, no snare, no mid frequencies, no click, no loop
wide sub drop one shot, 2-step character, pure sine sub, saturated, no hi hats, no snare, no mid frequencies, no click, no loop
progressive house gritty sub drop one shot, deep tuned low end, boomy sustain, dry, no hi hats, no snare, no mid frequencies, no click, no loop
clean sub drop one shot, trap character, gritty saturated sub, dry, no hi hats, no snare, no mid frequencies, no click, no loop
gritty sub drop one shot, trap character, pure sine sub, analog, no hi hats, no snare, no mid frequencies, no click, no loop
gritty sub drop one shot, jazz character, tight controlled sub, saturated, no hi hats, no snare, no mid frequencies, no click, no loop
dubstep sub drop one shot, tight controlled sub, boomy sustain, analog, no hi hats, no snare, no mid frequencies, no click, no loop
trap edm metallic sub drop one shot, deep tuned low end, boomy sustain, dry, no hi hats, no snare, no mid frequencies, no click, no loop
dusty sub drop one shot, trap edm character, gritty saturated sub, vinyl-warmed, no hi hats, no snare, no mid frequencies, no click, no loop
fat sub drop one shot, drum and bass character, gritty saturated sub, dry, no hi hats, no snare, no mid frequencies, no click, no loop
ambient techno sub drop one shot, gritty saturated sub, fast decay, clean studio sample, no hi hats, no snare, no mid frequencies, no click, no loop
future bass lush sub drop one shot, deep tuned low end, boomy sustain, dry, no hi hats, no snare, no mid frequencies, no click, no loop
mellow sub drop one shot, minimal techno character, deep tuned low end, tape-saturated, no hi hats, no snare, no mid frequencies, no click, no loop
ambient sub drop one shot, deep tuned low end, slow sub tail, compressed, no hi hats, no snare, no mid frequencies, no click, no loop
big room crisp sub drop one shot, tight controlled sub, boomy sustain, dry, no hi hats, no snare, no mid frequencies, no click, no loop
lush sub drop one shot, chamber character, gritty saturated sub, analog, no hi hats, no snare, no mid frequencies, no click, no loop
progressive house vintage sub drop one shot, pure sine sub, slow sub tail, dry, no hi hats, no snare, no mid frequencies, no click, no loop
melodic techno sub drop one shot, deep tuned low end, long smooth decay, filtered, no hi hats, no snare, no mid frequencies, no click, no loop
dark sub drop one shot, dubstep character, tight controlled sub, dry, no hi hats, no snare, no mid frequencies, no click, no loop
metallic sub drop one shot, drum and bass character, gritty saturated sub, mono-compatible, no hi hats, no snare, no mid frequencies, no click, no loop
dark sub drop one shot, ambient techno character, deep tuned low end, vinyl-warmed, no hi hats, no snare, no mid frequencies, no click, no loop
2-step sub drop one shot, pure sine sub, slow sub tail, vinyl-warmed, no hi hats, no snare, no mid frequencies, no click, no loop
trap edm sub drop one shot, tight controlled sub, boomy sustain, dry, no hi hats, no snare, no mid frequencies, no click, no loop
electro sub drop one shot, tight controlled sub, slow sub tail, dry, no hi hats, no snare, no mid frequencies, no click, no loop
ambient techno warm sub drop one shot, deep tuned low end, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
big room bright sub drop one shot, deep tuned low end, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
electro glassy sub drop one shot, tight controlled sub, boomy sustain, dry, no hi hats, no snare, no mid frequencies, no click, no loop
hardstyle sub drop one shot, gritty saturated sub, boomy sustain, dry, no hi hats, no snare, no mid frequencies, no click, no loop
memphis sub drop one shot, gritty saturated sub, long smooth decay, tape-saturated, no hi hats, no snare, no mid frequencies, no click, no loop
acid techno warm sub drop one shot, tight controlled sub, boomy sustain, dry, no hi hats, no snare, no mid frequencies, no click, no loop
2-step sub drop one shot, tight controlled sub, boomy sustain, lo-fi, no hi hats, no snare, no mid frequencies, no click, no loop
breakbeat sub drop one shot, pure sine sub, boomy sustain, analog, no hi hats, no snare, no mid frequencies, no click, no loop
breakbeat dark sub drop one shot, tight controlled sub, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
electro sub drop one shot, deep tuned low end, boomy sustain, dry, no hi hats, no snare, no mid frequencies, no click, no loop
glassy sub drop one shot, drum and bass character, gritty saturated sub, lo-fi, no hi hats, no snare, no mid frequencies, no click, no loop
deep house sub drop one shot, tight controlled sub, slow sub tail, clean studio sample, no hi hats, no snare, no mid frequencies, no click, no loop
cinematic sub drop one shot, deep tuned low end, slow sub tail, dry, no hi hats, no snare, no mid frequencies, no click, no loop
gritty sub drop one shot, future bass character, deep tuned low end, dry, no hi hats, no snare, no mid frequencies, no click, no loop
clean sub drop one shot, techno character, tight controlled sub, mono-compatible, no hi hats, no snare, no mid frequencies, no click, no loop
dubstep sub drop one shot, deep tuned low end, boomy sustain, compressed, no hi hats, no snare, no mid frequencies, no click, no loop
dubstep punchy sub drop one shot, gritty saturated sub, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
lush sub drop one shot, hip-hop character, pure sine sub, mono-compatible, no hi hats, no snare, no mid frequencies, no click, no loop
hardstyle sub drop one shot, pure sine sub, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
hollow sub drop one shot, progressive house character, pure sine sub, dry, no hi hats, no snare, no mid frequencies, no click, no loop
classical sub drop one shot, gritty saturated sub, slow sub tail, compressed, no hi hats, no snare, no mid frequencies, no click, no loop
breakbeat mellow sub drop one shot, deep tuned low end, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
dubstep sub drop one shot, deep tuned low end, fast decay, saturated, no hi hats, no snare, no mid frequencies, no click, no loop
lo-fi hip-hop hollow sub drop one shot, pure sine sub, boomy sustain, dry, no hi hats, no snare, no mid frequencies, no click, no loop
future bass hollow sub drop one shot, tight controlled sub, slow sub tail, dry, no hi hats, no snare, no mid frequencies, no click, no loop
fat sub drop one shot, hardstyle character, gritty saturated sub, compressed, no hi hats, no snare, no mid frequencies, no click, no loop
drill sub drop one shot, deep tuned low end, slow sub tail, clean studio sample, no hi hats, no snare, no mid frequencies, no click, no loop
ambient techno detuned sub drop one shot, gritty saturated sub, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
west coast sub drop one shot, deep tuned low end, boomy sustain, tape-saturated, no hi hats, no snare, no mid frequencies, no click, no loop
detuned sub drop one shot, ambient techno character, gritty saturated sub, mono-compatible, no hi hats, no snare, no mid frequencies, no click, no loop
tech house sub drop one shot, pure sine sub, fast decay, filtered, no hi hats, no snare, no mid frequencies, no click, no loop
trap edm gritty sub drop one shot, pure sine sub, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
saturated sub drop one shot, hardstyle character, pure sine sub, filtered, no hi hats, no snare, no mid frequencies, no click, no loop
hollow sub drop one shot, hardstyle character, deep tuned low end, tape-saturated, no hi hats, no snare, no mid frequencies, no click, no loop
deep house sub drop one shot, gritty saturated sub, long smooth decay, clean studio sample, no hi hats, no snare, no mid frequencies, no click, no loop
ambient techno sub drop one shot, pure sine sub, long smooth decay, vinyl-warmed, no hi hats, no snare, no mid frequencies, no click, no loop
big room metallic sub drop one shot, pure sine sub, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
smooth sub drop one shot, big room character, deep tuned low end, lo-fi, no hi hats, no snare, no mid frequencies, no click, no loop
west coast metallic sub drop one shot, gritty saturated sub, slow sub tail, dry, no hi hats, no snare, no mid frequencies, no click, no loop
breakbeat metallic sub drop one shot, deep tuned low end, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
phonk fat sub drop one shot, gritty saturated sub, slow sub tail, dry, no hi hats, no snare, no mid frequencies, no click, no loop
glitch dusty sub drop one shot, pure sine sub, slow sub tail, dry, no hi hats, no snare, no mid frequencies, no click, no loop
airy sub drop one shot, tech house character, pure sine sub, tape-saturated, no hi hats, no snare, no mid frequencies, no click, no loop
lush sub drop one shot, deep house character, gritty saturated sub, dry, no hi hats, no snare, no mid frequencies, no click, no loop
hardstyle bright sub drop one shot, deep tuned low end, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
wide sub drop one shot, electro character, gritty saturated sub, clean studio sample, no hi hats, no snare, no mid frequencies, no click, no loop
trance airy sub drop one shot, deep tuned low end, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
drum and bass dusty sub drop one shot, pure sine sub, slow sub tail, dry, no hi hats, no snare, no mid frequencies, no click, no loop
glassy sub drop one shot, glitch character, deep tuned low end, mono-compatible, no hi hats, no snare, no mid frequencies, no click, no loop
drum and bass dusty sub drop one shot, deep tuned low end, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
dubstep sub drop one shot, deep tuned low end, long smooth decay, vinyl-warmed, no hi hats, no snare, no mid frequencies, no click, no loop
future bass sub drop one shot, gritty saturated sub, slow sub tail, vinyl-warmed, no hi hats, no snare, no mid frequencies, no click, no loop
smooth sub drop one shot, breakbeat character, gritty saturated sub, compressed, no hi hats, no snare, no mid frequencies, no click, no loop
folk sub drop one shot, deep tuned low end, fast decay, compressed, no hi hats, no snare, no mid frequencies, no click, no loop
trance aggressive sub drop one shot, pure sine sub, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
dubstep clean sub drop one shot, pure sine sub, boomy sustain, dry, no hi hats, no snare, no mid frequencies, no click, no loop
glassy sub drop one shot, phonk character, gritty saturated sub, tape-saturated, no hi hats, no snare, no mid frequencies, no click, no loop
dusty sub drop one shot, phonk character, deep tuned low end, dry, no hi hats, no snare, no mid frequencies, no click, no loop
glitch metallic sub drop one shot, deep tuned low end, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
future bass mellow sub drop one shot, pure sine sub, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
breakbeat sub drop one shot, gritty saturated sub, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
hardstyle dark sub drop one shot, pure sine sub, slow sub tail, dry, no hi hats, no snare, no mid frequencies, no click, no loop
woody sub drop one shot, cloud rap character, pure sine sub, dry, no hi hats, no snare, no mid frequencies, no click, no loop
progressive house sub drop one shot, tight controlled sub, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
woody sub drop one shot, boom bap character, gritty saturated sub, vinyl-warmed, no hi hats, no snare, no mid frequencies, no click, no loop
wide sub drop one shot, melodic techno character, tight controlled sub, analog, no hi hats, no snare, no mid frequencies, no click, no loop
dusty sub drop one shot, future bass character, pure sine sub, lo-fi, no hi hats, no snare, no mid frequencies, no click, no loop
smooth sub drop one shot, 2-step character, pure sine sub, vinyl-warmed, no hi hats, no snare, no mid frequencies, no click, no loop
future bass sub drop one shot, tight controlled sub, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
vintage sub drop one shot, synthwave character, tight controlled sub, analog, no hi hats, no snare, no mid frequencies, no click, no loop
saturated sub drop one shot, techno character, deep tuned low end, dry, no hi hats, no snare, no mid frequencies, no click, no loop
future bass dark sub drop one shot, pure sine sub, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
melodic techno sub drop one shot, gritty saturated sub, long smooth decay, analog, no hi hats, no snare, no mid frequencies, no click, no loop
gritty sub drop one shot, uk garage character, pure sine sub, vinyl-warmed, no hi hats, no snare, no mid frequencies, no click, no loop
dubstep sub drop one shot, gritty saturated sub, long smooth decay, mono-compatible, no hi hats, no snare, no mid frequencies, no click, no loop
trap edm glassy sub drop one shot, gritty saturated sub, boomy sustain, dry, no hi hats, no snare, no mid frequencies, no click, no loop
minimal techno aggressive sub drop one shot, deep tuned low end, slow sub tail, dry, no hi hats, no snare, no mid frequencies, no click, no loop
boom bap saturated sub drop one shot, deep tuned low end, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
clean sub drop one shot, melodic techno character, gritty saturated sub, vinyl-warmed, no hi hats, no snare, no mid frequencies, no click, no loop
