# =========================================================================
# sweep — unpitched one-shots. ~200 prompts.
# Style mix (generated lines): ~84% EDM/electronic. EDM-forward, full spectrum.
# Generated by gen_prompts.py (deterministic). Curated lines preserved on top.
# =========================================================================

# --- generated (combinatorial) ---
tech house noise sweep one shot, noise transition, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
ambient techno gritty noise sweep one shot, airy motion, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
warm noise sweep one shot, trap edm character, noise transition, analog, no drums, no melody, no tonal pitch, no loop
future bass noise sweep one shot, noise transition, filtered tail, dry, no drums, no melody, no tonal pitch, no loop
r&b noise sweep one shot, airy motion, smooth sweep, compressed, no drums, no melody, no tonal pitch, no loop
aggressive noise sweep one shot, breakbeat character, white noise sweep, dry, no drums, no melody, no tonal pitch, no loop
orchestral metallic noise sweep one shot, airy motion, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
big room punchy noise sweep one shot, white noise sweep, filtered tail, dry, no drums, no melody, no tonal pitch, no loop
r&b metallic noise sweep one shot, white noise sweep, smooth sweep, dry, no drums, no melody, no tonal pitch, no loop
lush noise sweep one shot, big room character, noise transition, analog, no drums, no melody, no tonal pitch, no loop
techno mellow noise sweep one shot, filter whoosh, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
progressive house saturated noise sweep one shot, white noise sweep, smooth sweep, dry, no drums, no melody, no tonal pitch, no loop
drill lush noise sweep one shot, filter whoosh, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
saturated noise sweep one shot, phonk character, airy motion, dry, no drums, no melody, no tonal pitch, no loop
tech house punchy noise sweep one shot, filter whoosh, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
big room glassy noise sweep one shot, white noise sweep, smooth sweep, dry, no drums, no melody, no tonal pitch, no loop
big room glassy noise sweep one shot, filter whoosh, smooth sweep, dry, no drums, no melody, no tonal pitch, no loop
synthwave noise sweep one shot, white noise sweep, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
memphis noise sweep one shot, white noise sweep, smooth sweep, saturated, no drums, no melody, no tonal pitch, no loop
2-step noise sweep one shot, filter whoosh, filtered tail, tape-saturated, no drums, no melody, no tonal pitch, no loop
bright noise sweep one shot, uk garage character, filter whoosh, vinyl-warmed, no drums, no melody, no tonal pitch, no loop
tech house bright noise sweep one shot, airy motion, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
ambient techno airy noise sweep one shot, white noise sweep, filtered tail, dry, no drums, no melody, no tonal pitch, no loop
progressive house noise sweep one shot, noise transition, filtered tail, dry, no drums, no melody, no tonal pitch, no loop
minimal techno noise sweep one shot, airy motion, rising-falling motion, saturated, no drums, no melody, no tonal pitch, no loop
trap noise sweep one shot, filter whoosh, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
synthwave noise sweep one shot, airy motion, filtered tail, saturated, no drums, no melody, no tonal pitch, no loop
ambient techno noise sweep one shot, filter whoosh, filtered tail, compressed, no drums, no melody, no tonal pitch, no loop
detuned noise sweep one shot, tech house character, white noise sweep, dry, no drums, no melody, no tonal pitch, no loop
glitch noise sweep one shot, noise transition, filtered tail, dry, no drums, no melody, no tonal pitch, no loop
ambient noise sweep one shot, white noise sweep, short whoosh, vinyl-warmed, no drums, no melody, no tonal pitch, no loop
glassy noise sweep one shot, cloud rap character, filter whoosh, filtered, no drums, no melody, no tonal pitch, no loop
drum and bass noise sweep one shot, airy motion, rising-falling motion, analog, no drums, no melody, no tonal pitch, no loop
bright noise sweep one shot, boom bap character, filter whoosh, clean studio sample, no drums, no melody, no tonal pitch, no loop
big room noise sweep one shot, noise transition, short whoosh, mono-compatible, no drums, no melody, no tonal pitch, no loop
detuned noise sweep one shot, electro character, filter whoosh, lo-fi, no drums, no melody, no tonal pitch, no loop
techno detuned noise sweep one shot, white noise sweep, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
melodic techno noise sweep one shot, white noise sweep, filtered tail, saturated, no drums, no melody, no tonal pitch, no loop
tech house clean noise sweep one shot, filter whoosh, filtered tail, dry, no drums, no melody, no tonal pitch, no loop
future bass clean noise sweep one shot, white noise sweep, smooth sweep, dry, no drums, no melody, no tonal pitch, no loop
uk garage noise sweep one shot, white noise sweep, smooth sweep, saturated, no drums, no melody, no tonal pitch, no loop
deep house noise sweep one shot, airy motion, rising-falling motion, lo-fi, no drums, no melody, no tonal pitch, no loop
minimal techno dark noise sweep one shot, noise transition, smooth sweep, dry, no drums, no melody, no tonal pitch, no loop
glassy noise sweep one shot, breakbeat character, white noise sweep, analog, no drums, no melody, no tonal pitch, no loop
detuned noise sweep one shot, melodic techno character, airy motion, analog, no drums, no melody, no tonal pitch, no loop
cloud rap noise sweep one shot, filter whoosh, rising-falling motion, lo-fi, no drums, no melody, no tonal pitch, no loop
hardstyle clean noise sweep one shot, filter whoosh, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
lo-fi hip-hop glassy noise sweep one shot, filter whoosh, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
vintage noise sweep one shot, phonk character, airy motion, lo-fi, no drums, no melody, no tonal pitch, no loop
drum and bass saturated noise sweep one shot, noise transition, smooth sweep, dry, no drums, no melody, no tonal pitch, no loop
soundtrack noise sweep one shot, airy motion, filtered tail, filtered, no drums, no melody, no tonal pitch, no loop
lush noise sweep one shot, hardstyle character, airy motion, vinyl-warmed, no drums, no melody, no tonal pitch, no loop
aggressive noise sweep one shot, 2-step character, white noise sweep, compressed, no drums, no melody, no tonal pitch, no loop
