# =========================================================================
# Splash cymbal one-shots — short bright accent, quicker than crash.
# Bias: ~50% EDM, ~25% Hip-Hop, ~25% Acoustic/Other.
# =========================================================================

# --- Acoustic studio splash ---
splash cymbal one shot, small bright cymbal, short quick wash, dry, no loop
6 inch splash one shot, tiny bright cymbal, very short decay, dry, no melody
8 inch splash one shot, small bright cymbal, short controlled wash, dry, no loop
10 inch splash one shot, medium bright cymbal, controlled short wash, dry, no melody
12 inch splash one shot, larger splash, slightly longer wash, dry, no loop
hand hammered splash one shot, complex bright splash, short wash, dry, no melody
thin splash one shot, bright quick attack, very short decay, dry, no loop
heavy splash one shot, dense bright impact, short controlled wash, dry, no melody

# --- China splash ---
china splash one shot, trashy bright accent, short wash, dry, no loop, no melody
mini china splash one shot, sharp trashy attack, very short decay, dry, no loop
small china one shot, bright trashy splash, controlled tone, dry, no melody

# --- Stack / effect splash ---
cymbal stack one shot, two cymbals stacked, trashy short splash, dry, no loop
fx splash one shot, custom processed splash, bright short attack, dry, no melody
trashy splash one shot, dense bright accent, controlled short wash, dry, no loop

# --- 909 / 808 electronic splash ---
909 splash one shot, sharp electronic splash, short bright tone, dry, no loop
808 splash one shot, vintage drum machine splash, short wash, dry, no melody
pitched 909 splash one shot, tuned bright accent, short controlled tone, dry, no loop
processed 909 splash one shot, saturated bright splash, EDM ready, dry, no melody

# --- House / tech house splash ---
house splash one shot, bright sustained accent, controlled short wash, dry, no loop
deep house splash one shot, soft warm splash, smooth short wash, dry, no melody
tech house splash one shot, processed bright splash, controlled tone, dry, no loop
afro house splash one shot, organic bright splash, controlled tone, dry, no melody

# --- Techno splash ---
techno splash one shot, dark processed accent, short controlled wash, dry, no loop
minimal techno splash one shot, clean electronic splash, controlled tone, dry, no melody
hard techno splash one shot, aggressive bright accent, saturated wash, dry, no loop
dub techno splash one shot, warm processed splash, soft short wash, dry, no melody

# --- Trance splash ---
trance splash one shot, sharp bright accent, electronic character, dry, no loop
uplifting trance splash one shot, crisp short splash, mainroom ready, dry, no melody
progressive trance splash one shot, smooth bright accent, controlled tone, dry, no loop
psytrance splash one shot, hard processed splash, controlled wash, dry, no melody

# --- Big-room / festival ---
big room splash one shot, sharp festival accent, mainstage ready, dry, no loop
EDM festival splash one shot, processed bright splash, controlled wash, dry, no melody
